"Site","Aspect","avg.SR"
"BF","E",470810.569485192
"BF","N",484289.381774018
"BF","S",460774.861912792
"BF","W",472350.555415264
"F","E",414123.13288168
"F","N",481230.250319792
"F","S",423994.093543351
"F","W",477288.526202281
"H","NE",476857.992640248
"H","NW",485516.512683067
"H","SE",469244.444990268
"H","SW",458879.2126535
"KB","NE",444419.173564489
"KB","NW",482760.836995434
"KB","SE",425123.856530862
"KB","SW",469324.385552176
"LSK","NE",464724.909906812
"LSK","NW",471437.046753727
"LSK","SE",452934.781216295
"LSK","SW",459126.282980538
"MBo","NE",464879.443444506
"MBo","NW",465094.809874581
"MBo","SE",461009.856436225
"MBo","SW",460388.65110902
"MBu","NE",463313.939100101
"MBu","NW",482240.692198274
"MBu","SE",441202.491165534
"MBu","SW",460900.089291292
"MF","NE",465771.582728415
"MF","NW",470905.200176688
"MF","SE",455644.051788655
"MF","SW",460157.007452304
"MH","E",467283.86972644
"MH","N",483625.05320545
"MH","S",465077.388998838
"MH","W",480292.06095943
"MHW","NE",472548.897354579
"MHW","NW",484706.128584822
"MHW","SE",447474.894552124
"MHW","SW",449588.570732187
"MM","NE",474591.800075857
"MM","NW",485290.377405159
"MM","SE",468098.353603221
"MM","SW",453403.961208168
"MSp","NE",465079.216013557
"MSp","NW",484928.629984358
"MSp","SE",395055.98277412
"MSp","SW",436439.253223778
"MSt","NE",454786.558560793
"MSt","NW",486082.475528255
"MSt","SE",393523.903227483
"MSt","SW",467706.563403786
"TT","NE",477951.048528087
"TT","NW",480622.995518155
"TT","SE",453036.671476362
"TT","SW",449226.003021859
